gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.115126	0.061214	0.126786	0.912150	0.000145	0.100000
1	0.120413	0.085711	0.132817	0.911438	0.000142	0.099900
2	0.121546	0.093280	0.153187	0.863953	0.000226	0.099800
3	0.121041	0.091949	0.142430	0.885905	0.000202	0.099701
4	0.123759	0.096942	0.141542	0.896362	0.000185	0.099601
5	0.125801	0.093626	0.143083	0.898519	0.000170	0.099502
6	0.125659	0.095732	0.141915	0.901347	0.000189	0.099403
7	0.124432	0.098489	0.140186	0.902344	0.000186	0.099303
8	0.125302	0.096509	0.143322	0.896322	0.000209	0.099204
9	0.126700	0.086385	0.146941	0.891113	0.000187	0.099105
10	0.126917	0.092844	0.142188	0.904663	0.000188	0.099006
11	0.127033	0.089854	0.147262	0.891276	0.000206	0.098908
12	0.128180	0.092864	0.148542	0.891398	0.000169	0.098809
13	0.128126	0.096920	0.144832	0.900981	0.000189	0.098710
14	0.127897	0.097020	0.146725	0.895182	0.000206	0.098612
15	0.128050	0.098683	0.145053	0.900126	0.000196	0.098513
16	0.128135	0.101533	0.146904	0.895426	0.000288	0.098415
17	0.127569	0.104397	0.151514	0.882690	0.000228	0.098317
18	0.128990	0.103487	0.143668	0.907145	0.000185	0.098219
19	0.128689	0.102706	0.139136	0.920980	0.000151	0.098121
20	0.129009	0.102946	0.143764	0.906921	0.000231	0.098023
21	0.130136	0.099593	0.147038	0.901164	0.000235	0.097925
22	0.130236	0.098826	0.151268	0.890564	0.000270	0.097827
23	0.129621	0.096729	0.153558	0.883565	0.000266	0.097730
24	0.128795	0.100636	0.148844	0.892415	0.000211	0.097632
25	0.129484	0.101474	0.147895	0.896871	0.000191	0.097535
26	0.130219	0.102895	0.145390	0.906108	0.000381	0.097437
27	0.132288	0.100672	0.159880	0.876892	0.000258	0.097340
28	0.130899	0.103532	0.151692	0.891398	0.000256	0.097243
29	0.130928	0.101150	0.150743	0.893819	0.000246	0.097146
30	0.133066	0.102831	0.153320	0.893534	0.000255	0.097049
31	0.133013	0.105352	0.154986	0.889404	0.000231	0.096952
32	0.132488	0.101740	0.151790	0.895691	0.000225	0.096855
33	0.132137	0.105197	0.154218	0.888814	0.000237	0.096759
34	0.134346	0.101460	0.153797	0.895996	0.000249	0.096662
35	0.134979	0.099144	0.154504	0.896037	0.000286	0.096566
36	0.138184	0.092876	0.162839	0.885396	0.000388	0.096469
37	0.138093	0.098427	0.164526	0.881632	0.000370	0.096373
38	0.138240	0.095980	0.167126	0.876790	0.000388	0.096277
39	0.138060	0.101025	0.167035	0.876546	0.000406	0.096181
40	0.138967	0.095153	0.162548	0.888021	0.000394	0.096085
41	0.137380	0.091093	0.160720	0.887960	0.000334	0.095989
42	0.138161	0.098704	0.162944	0.885111	0.000415	0.095893
43	0.141419	0.096032	0.166217	0.886312	0.000382	0.095797
44	0.141038	0.094008	0.164925	0.888123	0.000364	0.095702
45	0.144502	0.094157	0.169654	0.886698	0.000361	0.095606
46	0.144726	0.096684	0.163704	0.900716	0.000404	0.095511
47	0.143135	0.095074	0.160536	0.904195	0.000401	0.095415
48	0.144051	0.096802	0.163379	0.899638	0.000792	0.095320
49	0.147583	0.100550	0.164323	0.907288	0.000518	0.095225
50	0.144794	0.096376	0.164491	0.898987	0.000402	0.095130
51	0.145107	0.093597	0.164484	0.899862	0.000399	0.095035
52	0.147559	0.099088	0.165354	0.904561	0.000536	0.094940
53	0.143753	0.090903	0.162049	0.902100	0.000425	0.094846
54	0.144025	0.094128	0.162259	0.902344	0.000417	0.094751
55	0.146863	0.092667	0.164422	0.904948	0.000535	0.094656
56	0.146152	0.091689	0.163784	0.904541	0.000627	0.094562
57	0.153069	0.092044	0.173793	0.899211	0.000580	0.094467
58	0.151864	0.098901	0.170543	0.903666	0.000578	0.094373
59	0.152747	0.090421	0.170894	0.905233	0.000587	0.094279
60	0.152548	0.092991	0.171564	0.903056	0.000544	0.094185
61	0.153537	0.091479	0.173775	0.900472	0.000600	0.094091
62	0.152428	0.088370	0.170892	0.904358	0.000568	0.093997
63	0.165888	0.092060	0.177847	0.925374	0.002465	0.093903
64	0.175081	0.088796	0.191930	0.914266	0.003276	0.093810
65	0.173047	0.093372	0.188564	0.917114	0.002813	0.093716
66	0.171917	0.093527	0.189227	0.912394	0.003147	0.093622
67	0.173717	0.094697	0.188215	0.919922	0.002990	0.093529
68	0.174570	0.093786	0.191528	0.913879	0.003278	0.093436
69	0.186394	0.096808	0.242742	0.854635	0.005221	0.093342
70	0.181729	0.101446	0.242931	0.847616	0.005065	0.093249
71	0.182069	0.101482	0.244831	0.846069	0.005073	0.093156
72	0.185315	0.100420	0.243196	0.852539	0.005281	0.093063
73	0.185156	0.098563	0.229687	0.868693	0.006817	0.092970
74	0.184795	0.096330	0.235724	0.860453	0.006765	0.092877
75	0.191883	0.101136	0.241950	0.863810	0.005345	0.092785
76	0.189993	0.100490	0.207987	0.914917	0.005601	0.092692
77	0.196113	0.106232	0.216140	0.911804	0.049176	0.092600
78	0.225837	0.105242	0.265222	0.886597	0.066408	0.092507
79	0.341396	0.136392	0.433672	0.861654	0.103770	0.092415
80	0.344700	0.209029	0.397817	0.892924	0.093156	0.092323
81	0.457359	0.294098	0.632972	0.838765	0.150030	0.092231
82	0.591268	0.349925	0.824258	0.836975	0.186836	0.092139
83	0.712237	0.463236	0.927484	0.854655	0.181964	0.092047
84	0.785880	0.532324	1.112217	0.833313	0.231229	0.091955
85	0.780523	0.563858	1.071021	0.840902	0.218510	0.091863
86	0.786613	0.565044	1.257469	0.806274	0.261110	0.091771
87	0.819418	0.603993	1.099477	0.846639	0.232794	0.091680
88	0.847192	0.617926	1.125977	0.849141	0.225979	0.091588
89	0.939815	0.646560	1.235952	0.851969	0.246761	0.091497
90	0.933975	0.655773	1.372443	0.824524	0.280506	0.091405
91	1.019613	0.697147	1.534420	0.819173	0.293878	0.091314
92	1.138432	0.701047	1.399230	0.871541	0.241392	0.091223
93	1.145894	0.748424	1.460562	0.860677	0.270569	0.091132
94	1.145127	0.732063	1.403523	0.872416	0.278491	0.091041
95	1.231758	0.765814	1.863798	0.817973	0.313043	0.090950
96	1.254632	0.848591	1.880322	0.820089	0.331239	0.090859
97	1.318415	0.833075	1.837939	0.836975	0.259599	0.090769
98	1.337889	0.831109	1.784040	0.848267	0.309233	0.090678
99	1.485953	0.898343	1.929188	0.855489	0.370224	0.090588
100	1.683458	0.874072	2.484879	0.823507	0.375231	0.090497
101	1.936906	0.897329	2.455946	0.862183	0.367663	0.090407
102	1.967826	0.988253	2.537136	0.857422	0.400144	0.090317
103	2.083744	1.155270	3.043803	0.825887	0.352195	0.090227
104	2.556252	1.192339	3.278959	0.858866	0.425406	0.090137
105	2.559840	1.323462	3.342858	0.853882	0.454041	0.090047
106	2.490319	1.409109	3.177100	0.860413	0.440100	0.089957
107	2.442618	1.377581	3.536439	0.827942	0.462172	0.089867
108	2.425213	1.503283	3.544484	0.825765	0.479888	0.089777
109	2.361579	1.537460	3.179140	0.845785	0.389693	0.089688
110	2.466943	1.534798	3.168041	0.858541	0.396242	0.089598
111	2.548901	1.529212	3.431581	0.845764	0.442477	0.089509
112	2.775649	1.627226	3.516987	0.862386	0.414740	0.089419
113	2.749003	1.649211	3.626974	0.851095	0.421341	0.089330
114	2.840735	1.670758	3.553776	0.866150	0.408716	0.089241
115	2.775697	1.729271	4.009904	0.828451	0.394613	0.089152
116	2.984564	1.784317	3.783554	0.862244	0.397135	0.089063
117	2.937272	1.746499	3.754251	0.859884	0.385554	0.088974
118	2.872079	1.934695	3.860319	0.846191	0.452455	0.088885
119	2.916574	1.789144	3.470656	0.882039	0.322599	0.088797
120	3.346641	1.931193	4.504870	0.845805	0.430972	0.088708
121	3.343985	1.907350	4.527265	0.844320	0.421960	0.088619
122	3.368057	1.914966	4.476381	0.849141	0.420403	0.088531
123	3.386473	1.954756	4.521709	0.847921	0.422672	0.088443
124	3.402409	2.030840	4.500323	0.850423	0.426060	0.088354
125	3.307623	1.981446	4.287303	0.855937	0.406392	0.088266
126	3.332712	1.989916	4.559453	0.841654	0.439052	0.088178
127	3.295733	2.084814	4.367203	0.849935	0.422219	0.088090
128	3.232470	2.030584	4.351527	0.845785	0.432074	0.088002
129	3.512006	2.108269	4.555895	0.855713	0.423012	0.087914
130	3.575138	2.174339	4.900593	0.841166	0.439765	0.087827
131	3.674995	2.194538	4.940279	0.846151	0.438493	0.087739
132	3.559996	2.308071	4.950919	0.837565	0.464219	0.087651
133	3.494630	2.148278	4.869270	0.837097	0.452977	0.087564
134	3.735385	2.269261	4.840344	0.856018	0.460464	0.087477
135	3.581043	2.063070	4.982247	0.837463	0.449452	0.087389
136	3.668381	2.339851	4.832300	0.851522	0.465544	0.087302
137	3.839985	2.379680	4.890997	0.860881	0.403787	0.087215
138	3.687034	2.355872	4.784001	0.855652	0.418205	0.087128
139	3.795374	2.404839	4.922768	0.855754	0.411531	0.087041
140	3.804290	2.286368	4.973515	0.853577	0.425443	0.086954
141	3.785684	2.381287	4.888011	0.857015	0.413781	0.086867
142	3.766852	2.413041	4.864404	0.856974	0.413321	0.086781
143	3.745448	2.486386	4.749797	0.862142	0.437353	0.086694
144	3.813553	2.487222	4.845006	0.861613	0.399515	0.086608
145	3.752395	2.451074	4.822633	0.858317	0.399154	0.086521
146	3.803553	2.520540	4.944270	0.855143	0.414097	0.086435
147	3.812791	2.561351	4.881296	0.859416	0.424197	0.086348
148	3.729298	2.443332	4.976381	0.848083	0.430900	0.086262
149	3.805293	2.509998	4.906555	0.857402	0.402851	0.086176
150	3.780797	2.616233	4.869675	0.857707	0.404083	0.086090
151	3.724711	2.578160	4.771262	0.859253	0.419249	0.086004
152	3.833142	2.600561	4.920739	0.858643	0.406827	0.085918
153	3.803455	2.649746	4.865866	0.859619	0.409416	0.085833
154	3.815705	2.616237	4.591525	0.878316	0.394247	0.085747
155	3.811680	2.602753	5.077293	0.848551	0.454701	0.085661
156	3.894498	2.608592	4.751470	0.873861	0.415633	0.085576
157	3.886559	2.617023	4.574674	0.885803	0.403121	0.085491
158	3.957219	2.622641	4.641193	0.887065	0.395556	0.085405
159	3.849954	2.667413	4.742786	0.870829	0.401762	0.085320
160	3.914737	2.592207	4.815324	0.871297	0.415449	0.085235
161	3.891943	2.588812	4.572793	0.886434	0.394858	0.085150
162	3.914515	2.646160	4.606777	0.885864	0.390346	0.085065
163	3.914221	2.704705	4.732419	0.876770	0.405454	0.084980
164	3.984919	2.643983	4.806470	0.877543	0.403470	0.084895
165	4.008071	2.721131	5.234082	0.853882	0.476957	0.084810
166	4.025110	2.744630	5.215008	0.856059	0.461014	0.084726
167	4.068101	2.774862	5.192953	0.860250	0.454169	0.084641
168	3.994953	2.774623	5.123307	0.858927	0.453724	0.084557
169	3.979277	2.762581	4.705779	0.884176	0.411236	0.084472
170	4.008607	2.710992	5.410800	0.845093	0.445541	0.084388
171	4.043078	2.777102	5.446608	0.845601	0.440294	0.084304
172	4.139757	2.865299	5.102144	0.870687	0.473880	0.084220
173	4.125691	2.762751	5.083136	0.870789	0.459599	0.084136
174	4.189419	2.711180	5.170158	0.870280	0.459911	0.084052
175	4.165801	2.919830	5.121464	0.871460	0.459021	0.083968
176	4.129348	2.833655	5.080970	0.871195	0.468227	0.083884
177	4.106966	2.821982	5.565519	0.844076	0.461487	0.083800
178	4.158890	2.866535	5.141994	0.869710	0.466085	0.083717
179	4.132847	2.764959	5.568851	0.845540	0.454721	0.083633
180	4.177085	2.902506	5.136008	0.871419	0.473922	0.083550
181	4.177382	2.827609	5.162121	0.869873	0.469296	0.083466
182	4.123568	2.928854	5.072860	0.871257	0.449723	0.083383
183	4.186726	2.860265	5.163770	0.870463	0.475941	0.083300
184	4.219388	2.866536	5.175521	0.872172	0.463924	0.083217
185	4.115826	2.819452	5.195871	0.863464	0.452844	0.083134
186	4.177566	2.875621	5.167482	0.869568	0.471385	0.083051
187	4.145773	2.934684	5.157695	0.867818	0.477746	0.082968
188	4.187629	2.883111	5.182337	0.869425	0.467411	0.082885
189	4.122753	2.729876	5.106462	0.869161	0.463937	0.082802
190	4.075982	2.840431	5.155968	0.862874	0.500613	0.082720
191	4.219197	2.923883	4.820125	0.896790	0.429684	0.082637
192	4.168946	2.865682	5.201237	0.866964	0.477503	0.082554
193	4.155782	2.858273	4.721122	0.898987	0.413623	0.082472
194	4.215826	2.870827	4.815263	0.896871	0.430026	0.082390
195	4.151695	2.998188	5.197336	0.865946	0.479032	0.082308
196	4.230826	2.864908	4.804154	0.899170	0.424642	0.082225
197	4.144058	2.941557	4.729820	0.897156	0.407102	0.082143
198	4.217038	2.856575	5.257326	0.867188	0.471403	0.082061
199	4.231387	2.856688	4.863916	0.894430	0.424767	0.081979
200	4.194697	2.804512	5.252243	0.865885	0.488884	0.081898
201	4.157018	2.954900	4.775356	0.894674	0.428241	0.081816
202	4.209696	2.890331	5.215538	0.869080	0.473742	0.081734
203	4.226166	3.001407	4.823787	0.897135	0.429927	0.081653
204	4.262726	2.901235	4.877036	0.896220	0.430713	0.081571
205	4.224736	2.876554	5.349736	0.862569	0.477576	0.081490
206	4.263562	2.833277	5.263395	0.870178	0.483839	0.081408
207	4.250906	2.954167	4.880335	0.894897	0.447167	0.081327
208	4.206714	2.839916	5.153948	0.872538	0.484560	0.081246
209	4.210132	2.839522	4.689234	0.907145	0.419309	0.081165
210	4.241781	3.017400	5.211469	0.871663	0.478299	0.081084
211	4.275065	2.838683	5.245861	0.872050	0.453402	0.081003
212	4.198499	2.800885	5.193376	0.869568	0.447088	0.080922
213	4.216089	2.906733	5.215133	0.869568	0.472718	0.080841
214	4.225509	2.927482	4.803298	0.898743	0.413431	0.080761
215	4.225875	2.917435	5.154112	0.873962	0.474987	0.080680
216	4.234858	2.977099	4.745316	0.904582	0.420672	0.080600
217	4.202106	2.832291	4.712280	0.904256	0.420122	0.080519
218	4.289873	2.879801	5.357185	0.866679	0.451603	0.080439
219	4.273513	2.861888	5.248400	0.871785	0.446443	0.080359
220	4.178152	3.029822	4.668472	0.905782	0.427699	0.080278
221	4.325788	3.012759	5.284111	0.873474	0.465849	0.080198
222	4.309184	2.960943	5.274708	0.872823	0.460151	0.080118
223	4.291755	3.070717	5.204895	0.875773	0.457303	0.080038
224	4.251600	2.989454	5.144840	0.876485	0.440797	0.079958
225	4.311482	2.875065	5.258860	0.873942	0.470501	0.079879
226	4.305697	2.961078	5.309455	0.870524	0.462943	0.079799
227	4.291475	2.942625	5.207519	0.875590	0.465122	0.079719
228	4.290089	3.005597	5.194680	0.876282	0.467704	0.079640
229	4.246744	3.034126	4.995730	0.886007	0.426096	0.079560
230	4.340267	3.054233	5.176020	0.881307	0.448020	0.079481
231	4.287976	3.023481	5.168147	0.877787	0.433718	0.079401
232	4.341750	2.933472	5.304633	0.873413	0.449573	0.079322
233	4.310071	3.018760	5.882368	0.842265	0.522843	0.079243
234	4.240677	2.878717	5.143600	0.875732	0.468474	0.079164
235	4.269157	2.938935	5.270649	0.870158	0.453685	0.079085
236	4.308071	2.988417	5.302270	0.871114	0.446775	0.079006
237	4.377504	3.008089	5.525833	0.863485	0.473933	0.078927
238	4.435031	2.954551	5.363441	0.876689	0.458531	0.078848
239	4.389924	3.038646	5.484361	0.866557	0.475347	0.078770
240	4.479256	2.967533	5.387991	0.878438	0.462045	0.078691
241	4.368687	2.959501	5.502492	0.864136	0.478150	0.078613
242	4.324786	3.048231	5.501488	0.861247	0.481646	0.078534
243	4.443269	3.071370	5.249538	0.884501	0.433890	0.078456
244	4.483423	3.098622	5.449763	0.875041	0.443583	0.078377
245	4.369804	3.078184	5.300221	0.875732	0.437571	0.078299
246	4.354108	3.049688	5.349125	0.871684	0.447927	0.078221
247	4.496517	3.187405	5.287104	0.886169	0.422471	0.078143
248	4.675714	3.152658	5.576059	0.881307	0.441169	0.078065
249	4.503416	3.135227	5.320600	0.884501	0.440641	0.077987
250	4.530724	3.021480	5.447206	0.878601	0.444088	0.077909
251	4.474536	3.073256	5.277196	0.885111	0.431573	0.077832
252	4.442145	3.106464	5.902559	0.849202	0.521455	0.077754
253	4.656083	3.177394	5.564428	0.880595	0.442871	0.077676
254	4.566647	3.076622	5.475555	0.879496	0.437099	0.077599
255	4.671121	3.143837	5.583756	0.880514	0.440276	0.077521
256	4.788710	3.200662	5.748517	0.879110	0.439208	0.077444
257	4.552125	3.246585	5.424746	0.881551	0.437525	0.077367
258	4.569140	3.214620	6.133638	0.846517	0.496664	0.077289
259	4.605789	3.211266	5.812389	0.863566	0.469467	0.077212
260	4.679971	3.260428	6.241103	0.848246	0.494626	0.077135
261	4.869937	3.283218	6.575492	0.845011	0.508692	0.077058
262	4.714251	3.320892	5.700397	0.876729	0.424193	0.076981
263	4.790352	3.307189	5.733609	0.880086	0.454333	0.076905
264	5.288498	3.341931	6.863444	0.855591	0.499617	0.076828
265	4.827001	3.325878	5.754047	0.881449	0.437757	0.076751
266	5.420315	3.425062	6.446183	0.882243	0.437530	0.076675
267	5.616046	3.550110	6.671774	0.882609	0.439191	0.076598
268	5.662822	3.601543	6.704203	0.883789	0.439117	0.076522
269	5.849005	3.550627	8.018773	0.841125	0.538423	0.076445
270	5.496209	3.682551	6.439535	0.887431	0.437193	0.076369
271	5.608021	3.569022	7.915965	0.833944	0.537002	0.076293
272	5.781236	3.603544	8.107138	0.835531	0.521777	0.076217
273	5.976973	3.739723	8.186937	0.841349	0.524652	0.076140
274	5.863896	3.697494	8.035942	0.841227	0.534354	0.076064
275	5.720469	3.795775	8.025280	0.835429	0.523433	0.075989
276	5.554204	3.883188	7.727474	0.837463	0.538684	0.075913
277	6.019936	3.852816	8.239803	0.841532	0.532122	0.075837
278	5.963488	3.955574	8.136333	0.842346	0.534265	0.075761
279	5.973715	3.946559	8.070290	0.844869	0.525820	0.075686
280	5.817027	3.661330	8.172375	0.835083	0.529940	0.075610
281	6.154665	3.894951	7.258288	0.885132	0.472318	0.075535
282	5.976193	3.745355	7.071859	0.883952	0.470737	0.075459
283	6.167388	3.772424	8.240601	0.847738	0.527457	0.075384
284	5.884075	3.660761	8.020270	0.842590	0.529774	0.075309
285	6.588018	3.867589	8.379915	0.861267	0.549499	0.075234
286	6.572454	3.955585	8.384413	0.860433	0.546691	0.075159
287	6.701119	3.948345	8.487332	0.862508	0.545166	0.075084
288	6.492327	3.896422	8.050543	0.868815	0.529849	0.075009
289	6.520509	3.958691	8.249354	0.862834	0.544401	0.074934
290	6.690307	3.913036	8.389635	0.865438	0.543041	0.074859
291	6.667777	4.074420	8.401751	0.864014	0.546219	0.074784
292	6.519431	3.939060	8.246265	0.862895	0.549452	0.074710
293	6.741901	4.071913	8.596913	0.860555	0.551763	0.074635
294	6.538642	4.092236	8.266531	0.863037	0.546238	0.074561
295	6.458771	4.100449	8.502259	0.851705	0.546051	0.074486
296	6.530620	4.132291	8.308078	0.861226	0.551317	0.074412
297	6.484114	4.033461	8.267025	0.860596	0.547593	0.074338
298	6.553589	4.240404	8.301058	0.862488	0.549427	0.074263
299	6.541419	4.275723	8.257398	0.863485	0.544990	0.074189
300	6.791022	4.370215	8.555861	0.864054	0.545858	0.074115
301	6.594614	4.281708	8.265112	0.865601	0.537980	0.074041
302	6.742927	4.101020	8.423410	0.866577	0.536438	0.073967
303	6.584469	4.080056	8.456972	0.858500	0.546562	0.073894
304	6.597222	4.304014	8.252042	0.866191	0.535711	0.073820
305	6.604258	4.225598	8.360560	0.862651	0.549311	0.073746
306	6.623527	4.189835	8.300781	0.865621	0.537795	0.073673
307	6.557263	4.164723	8.570045	0.853658	0.550305	0.073599
308	6.705338	4.372087	8.451418	0.863932	0.543605	0.073526
309	6.745519	4.134448	8.408414	0.867228	0.536684	0.073452
310	6.712955	4.474383	8.428427	0.865072	0.541185	0.073379
311	6.499108	4.376140	8.468856	0.854472	0.542963	0.073306
312	6.620445	4.302412	8.555677	0.856771	0.547009	0.073232
313	6.618132	4.476520	8.371110	0.862895	0.543837	0.073159
314	6.612644	4.401835	8.399395	0.861674	0.544848	0.073086
315	6.546244	4.226185	8.680447	0.849752	0.556485	0.073013
316	6.618990	4.396233	8.397418	0.862020	0.548186	0.072941
317	6.525978	4.289058	8.285233	0.861816	0.540529	0.072868
318	6.630099	4.347787	8.795673	0.849630	0.549979	0.072795
319	6.542732	4.425589	8.270550	0.863078	0.541389	0.072722
320	6.565849	4.532635	8.890602	0.844279	0.572395	0.072650
321	6.641963	4.471648	8.660137	0.854309	0.547642	0.072577
322	6.590444	4.366719	8.355927	0.862203	0.541529	0.072505
323	6.726468	4.247407	8.564488	0.860982	0.547657	0.072433
324	6.553858	4.460011	8.481993	0.856364	0.541445	0.072360
325	6.612310	4.408909	8.426289	0.860738	0.550118	0.072288
326	6.601829	4.441189	8.869951	0.846293	0.562997	0.072216
327	6.776541	4.384401	9.072807	0.847209	0.564765	0.072144
328	6.780737	4.437729	8.535825	0.864299	0.542851	0.072072
329	6.903005	4.602252	9.134686	0.850301	0.572476	0.072000
330	6.889818	4.411267	9.043116	0.852498	0.569985	0.071928
331	6.725527	4.453069	8.734204	0.855408	0.562902	0.071856
332	6.764895	4.384158	8.758316	0.856262	0.558762	0.071785
333	6.857616	4.604013	8.733325	0.860921	0.553194	0.071713
334	6.881389	4.406329	9.086725	0.850871	0.576432	0.071641
335	6.843329	4.530051	8.907518	0.854777	0.554179	0.071570
336	6.845171	4.401732	9.042330	0.850769	0.572771	0.071498
337	6.756024	4.341225	8.253797	0.873433	0.525275	0.071427
