gen	best_preq_length	mean_preq_length	best_preq_length	best_preq_gain	best_id_baseline	sigma
0	0.005920	0.002757	0.005920	0.216672	0.000788	0.100000
1	0.007920	0.004915	0.007920	0.127395	0.001603	0.099000
2	0.007615	0.006281	0.007615	0.148571	0.001437	0.098010
3	0.012371	0.009672	0.012371	0.170366	0.001860	0.097030
4	0.014072	0.009944	0.014072	0.350827	0.001238	0.096060
