gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.157625	0.074119	0.159953	0.665751	0.000612	0.100000
1	0.161921	0.104397	0.169339	0.640137	0.000643	0.099500
2	0.165759	0.135314	0.174597	0.635539	0.000742	0.099003
3	0.165014	0.140769	0.173630	0.636190	0.000744	0.098507
4	0.165510	0.140406	0.168924	0.659587	0.000704	0.098015
5	0.167278	0.142107	0.175043	0.639750	0.000652	0.097525
6	0.166901	0.144042	0.176845	0.631958	0.000733	0.097037
7	0.168825	0.143795	0.175419	0.644633	0.000725	0.096552
8	0.168436	0.145846	0.174302	0.647664	0.000675	0.096069
9	0.168453	0.146159	0.173002	0.653829	0.000641	0.095589
10	0.168122	0.150568	0.173812	0.648397	0.000703	0.095111
11	0.169029	0.150310	0.174792	0.648214	0.000628	0.094635
12	0.172836	0.151156	0.176708	0.657898	0.000622	0.094162
13	0.169964	0.151995	0.174922	0.652039	0.000587	0.093691
14	0.169347	0.151345	0.179449	0.631917	0.000662	0.093223
15	0.170038	0.149704	0.182740	0.624084	0.000698	0.092757
16	0.170911	0.152526	0.186067	0.617554	0.000702	0.092293
17	0.173852	0.154621	0.180598	0.644816	0.000729	0.091832
18	0.172411	0.155348	0.178177	0.648702	0.000736	0.091372
19	0.174175	0.153628	0.178553	0.655436	0.000727	0.090916
20	0.174850	0.151150	0.180303	0.650431	0.000722	0.090461
21	0.174352	0.154076	0.179052	0.653870	0.000757	0.090009
22	0.175038	0.155080	0.180741	0.649353	0.000743	0.089559
23	0.175836	0.157138	0.182505	0.645426	0.000682	0.089111
24	0.175619	0.152846	0.182897	0.643005	0.000677	0.088665
25	0.175309	0.152811	0.180086	0.653625	0.000693	0.088222
26	0.176320	0.153535	0.184020	0.641520	0.000778	0.087781
27	0.174872	0.153710	0.182537	0.641418	0.000845	0.087342
28	0.175902	0.153792	0.185093	0.636169	0.000694	0.086905
29	0.178298	0.152468	0.195314	0.614604	0.000899	0.086471
30	0.179778	0.153832	0.186504	0.645793	0.000791	0.086038
31	0.181449	0.154719	0.187674	0.648051	0.000793	0.085608
32	0.178533	0.154061	0.192152	0.623311	0.000933	0.085180
33	0.180138	0.155922	0.190356	0.633565	0.000915	0.084754
34	0.179789	0.155835	0.188152	0.639689	0.000850	0.084331
35	0.180087	0.155662	0.192920	0.625793	0.000858	0.083909
36	0.179293	0.156683	0.190367	0.630758	0.001029	0.083489
37	0.182307	0.153650	0.188335	0.648987	0.000783	0.083072
38	0.182957	0.155594	0.185972	0.663839	0.000862	0.082657
39	0.184817	0.154345	0.196005	0.631429	0.001260	0.082243
40	0.184218	0.157019	0.196169	0.629089	0.001371	0.081832
41	0.184127	0.151651	0.186115	0.670695	0.000812	0.081423
42	0.186710	0.155310	0.193219	0.647644	0.001362	0.081016
43	0.186520	0.157112	0.194760	0.641195	0.001208	0.080611
44	0.190800	0.156146	0.192360	0.674479	0.001371	0.080208
45	0.196703	0.154817	0.200889	0.658956	0.001323	0.079807
46	0.191827	0.155568	0.195130	0.663045	0.001352	0.079408
47	0.194760	0.153678	0.197801	0.664795	0.001382	0.079010
48	0.193551	0.160198	0.194657	0.678650	0.001382	0.078615
49	0.192713	0.161461	0.197086	0.657633	0.001396	0.078222
50	0.195404	0.158328	0.199447	0.659526	0.001427	0.077831
51	0.194311	0.160466	0.199892	0.652405	0.001391	0.077442
52	0.195777	0.157915	0.198905	0.664388	0.001534	0.077055
53	0.196650	0.156817	0.200017	0.663147	0.001431	0.076670
54	0.199219	0.163679	0.200795	0.674886	0.001675	0.076286
55	0.196792	0.162072	0.203363	0.648743	0.001796	0.075905
56	0.198964	0.156842	0.204713	0.652262	0.001887	0.075525
57	0.200335	0.162464	0.202519	0.670553	0.001602	0.075148
58	0.198417	0.163384	0.199673	0.677531	0.001714	0.074772
59	0.199870	0.162374	0.209530	0.638550	0.002350	0.074398
60	0.200104	0.155890	0.208463	0.642782	0.001940	0.074026
61	0.199345	0.153664	0.199416	0.694682	0.001591	0.073656
62	0.202277	0.160629	0.204087	0.673299	0.002795	0.073288
63	0.199547	0.157445	0.210787	0.633789	0.002426	0.072921
64	0.199468	0.154643	0.210095	0.635559	0.002314	0.072557
65	0.203092	0.157284	0.211156	0.644185	0.002392	0.072194
66	0.201521	0.159200	0.210530	0.640849	0.002811	0.071833
67	0.202656	0.157797	0.211882	0.640320	0.001797	0.071474
68	0.202673	0.161034	0.208895	0.650818	0.002315	0.071116
69	0.203196	0.153816	0.211428	0.643636	0.003136	0.070761
70	0.205494	0.155640	0.209387	0.661255	0.002348	0.070407
71	0.202554	0.159426	0.216141	0.627930	0.002873	0.070055
72	0.206582	0.154822	0.211228	0.657817	0.003814	0.069705
73	0.211731	0.156486	0.214659	0.666850	0.003915	0.069356
74	0.209280	0.156048	0.211738	0.669434	0.003866	0.069009
75	0.210262	0.153684	0.212762	0.669250	0.003247	0.068664
76	0.212334	0.157585	0.216230	0.661865	0.004838	0.068321
77	0.210715	0.155533	0.214723	0.661174	0.004575	0.067979
78	0.217390	0.154564	0.218152	0.683268	0.002952	0.067639
79	0.214484	0.164983	0.214783	0.689453	0.003299	0.067301
80	0.215027	0.160193	0.215344	0.689148	0.003427	0.066965
81	0.216705	0.159118	0.217398	0.684021	0.003215	0.066630
82	0.217122	0.159611	0.221451	0.660258	0.003401	0.066297
83	0.219680	0.168396	0.219808	0.693197	0.005013	0.065965
84	0.217068	0.162929	0.222753	0.654521	0.004714	0.065635
85	0.217021	0.171448	0.223362	0.651998	0.004556	0.065307
86	0.217920	0.156349	0.224813	0.650085	0.002220	0.064981
87	0.220559	0.167653	0.224799	0.660970	0.002171	0.064656
88	0.224077	0.157568	0.225947	0.674215	0.004793	0.064333
89	0.221856	0.171148	0.223158	0.678365	0.004527	0.064011
90	0.223688	0.170786	0.225438	0.675028	0.006433	0.063691
91	0.221856	0.172284	0.223667	0.674500	0.003125	0.063372
92	0.224017	0.172900	0.225263	0.678935	0.006244	0.063056
93	0.230146	0.171661	0.231927	0.675171	0.007033	0.062740
94	0.230581	0.179189	0.241138	0.640157	0.007306	0.062427
95	0.231505	0.175827	0.241826	0.640930	0.006788	0.062114
96	0.234276	0.179404	0.241632	0.650269	0.007110	0.061804
97	0.234368	0.185768	0.235325	0.681946	0.006311	0.061495
98	0.231872	0.173883	0.232417	0.686300	0.004294	0.061187
99	0.233171	0.182047	0.238188	0.658732	0.006388	0.060881
100	0.235506	0.177090	0.235507	0.699585	0.006578	0.060577
101	0.234804	0.177161	0.235093	0.690084	0.006317	0.060274
102	0.238053	0.172775	0.238093	0.703674	0.006752	0.059973
103	0.238653	0.173299	0.238702	0.695964	0.006572	0.059673
104	0.239104	0.173172	0.242054	0.668681	0.006911	0.059375
105	0.239872	0.170163	0.241761	0.674947	0.006368	0.059078
106	0.240448	0.162647	0.242762	0.672323	0.006741	0.058782
107	0.237962	0.173140	0.238764	0.683594	0.005551	0.058488
108	0.237419	0.166644	0.242271	0.659770	0.006207	0.058196
109	0.241927	0.170923	0.243879	0.674642	0.006585	0.057905
110	0.240545	0.175613	0.240995	0.687764	0.007379	0.057615
111	0.241411	0.177924	0.253310	0.637960	0.006351	0.057327
112	0.242963	0.168855	0.243320	0.689168	0.006258	0.057041
113	0.244662	0.169216	0.244976	0.689860	0.006341	0.056756
114	0.248389	0.173278	0.251482	0.668538	0.008059	0.056472
115	0.246675	0.177390	0.249148	0.671753	0.007975	0.056189
116	0.248041	0.174416	0.249123	0.681335	0.007961	0.055908
117	0.249850	0.170123	0.256591	0.653849	0.008689	0.055629
118	0.248343	0.170371	0.248843	0.687317	0.009540	0.055351
119	0.250254	0.182710	0.250804	0.686747	0.009231	0.055074
120	0.251140	0.170773	0.251452	0.690023	0.009277	0.054799
121	0.250269	0.184002	0.250530	0.690857	0.010097	0.054525
122	0.254101	0.173946	0.254559	0.687988	0.009640	0.054252
123	0.252898	0.179997	0.253844	0.682719	0.009480	0.053981
124	0.252730	0.178926	0.253653	0.682922	0.007588	0.053711
125	0.252682	0.176559	0.254299	0.677409	0.007519	0.053442
126	0.250493	0.181802	0.251117	0.685893	0.009021	0.053175
127	0.252780	0.169790	0.252828	0.696086	0.009090	0.052909
128	0.257278	0.178826	0.258252	0.682617	0.009333	0.052645
129	0.254945	0.186888	0.255132	0.692342	0.010418	0.052381
130	0.253477	0.181014	0.259403	0.657003	0.009428	0.052120
131	0.254695	0.175145	0.255894	0.680623	0.009353	0.051859
132	0.256011	0.174153	0.256037	0.697184	0.009771	0.051600
133	0.260206	0.172181	0.264616	0.663330	0.010590	0.051342
134	0.259056	0.182707	0.263984	0.661174	0.010860	0.051085
135	0.258587	0.189344	0.261258	0.671326	0.010063	0.050830
136	0.259913	0.178642	0.263490	0.666931	0.010461	0.050575
137	0.254673	0.174916	0.259730	0.660339	0.009522	0.050322
138	0.261319	0.181532	0.265709	0.663493	0.010883	0.050071
139	0.257571	0.181731	0.258265	0.685323	0.008763	0.049821
140	0.257967	0.167528	0.260609	0.671448	0.010159	0.049571
141	0.257977	0.169637	0.262828	0.661397	0.009536	0.049324
142	0.257388	0.184050	0.262003	0.662292	0.009848	0.049077
143	0.256923	0.175032	0.261396	0.662842	0.010836	0.048832
144	0.263423	0.169189	0.267608	0.664490	0.010867	0.048587
145	0.255668	0.181500	0.257050	0.679240	0.010727	0.048344
146	0.259714	0.189148	0.264823	0.660522	0.010261	0.048103
147	0.258406	0.187457	0.265485	0.653503	0.010344	0.047862
148	0.257693	0.186091	0.261717	0.664795	0.009673	0.047623
149	0.263724	0.188008	0.269472	0.658468	0.010642	0.047385
150	0.263491	0.173641	0.268371	0.661682	0.010724	0.047148
151	0.261407	0.183756	0.267671	0.656474	0.010444	0.046912
152	0.264204	0.188373	0.270832	0.655477	0.012201	0.046678
153	0.264289	0.183989	0.270981	0.655273	0.009922	0.046444
154	0.264809	0.183077	0.264833	0.697347	0.010689	0.046212
155	0.263776	0.176635	0.269796	0.657511	0.010819	0.045981
156	0.264753	0.178720	0.269377	0.662781	0.010754	0.045751
157	0.259103	0.183458	0.263704	0.662476	0.009905	0.045522
158	0.263541	0.172759	0.267815	0.664124	0.010601	0.045295
159	0.263300	0.178029	0.263678	0.689290	0.011843	0.045068
160	0.270298	0.175964	0.270594	0.690653	0.012696	0.044843
161	0.272213	0.177881	0.272541	0.690186	0.012948	0.044619
162	0.267380	0.187132	0.268681	0.680298	0.010498	0.044396
163	0.266445	0.174111	0.273329	0.654826	0.011773	0.044174
164	0.269496	0.177649	0.272405	0.670695	0.014948	0.043953
165	0.264609	0.180830	0.265532	0.683309	0.011102	0.043733
166	0.265693	0.185783	0.265770	0.695211	0.011317	0.043514
167	0.271772	0.184542	0.272205	0.688721	0.012584	0.043297
168	0.268457	0.191117	0.269613	0.681458	0.011565	0.043080
169	0.271354	0.188785	0.271916	0.687134	0.012703	0.042865
170	0.266372	0.193502	0.273553	0.653870	0.011398	0.042650
171	0.269768	0.170221	0.270782	0.682678	0.011582	0.042437
172	0.271670	0.183594	0.277515	0.658732	0.012836	0.042225
173	0.265279	0.185657	0.273803	0.649699	0.011335	0.042014
174	0.264063	0.183777	0.264645	0.686727	0.011507	0.041804
175	0.265217	0.185624	0.267149	0.675903	0.010684	0.041595
176	0.266422	0.189268	0.267088	0.685872	0.013623	0.041387
177	0.271868	0.188473	0.274885	0.670288	0.010624	0.041180
178	0.269663	0.194340	0.272747	0.669840	0.010781	0.040974
179	0.266889	0.182562	0.267418	0.687419	0.011839	0.040769
180	0.269255	0.184380	0.272456	0.669250	0.011534	0.040565
181	0.268084	0.187540	0.268432	0.689799	0.012509	0.040362
182	0.267675	0.198579	0.269260	0.678263	0.011450	0.040161
183	0.275101	0.187448	0.276877	0.677307	0.012388	0.039960
184	0.273807	0.198318	0.276775	0.670634	0.011993	0.039760
185	0.273399	0.184704	0.273400	0.699443	0.012377	0.039561
186	0.277418	0.189106	0.277440	0.697510	0.014302	0.039363
187	0.278932	0.187997	0.279113	0.692790	0.014210	0.039167
188	0.280496	0.187802	0.281498	0.683105	0.016470	0.038971
189	0.278717	0.187572	0.282868	0.665609	0.012580	0.038776
190	0.285796	0.191180	0.286174	0.689718	0.013930	0.038582
191	0.276572	0.191794	0.277914	0.680318	0.016223	0.038389
192	0.281450	0.201346	0.283550	0.675618	0.016726	0.038197
193	0.280318	0.196718	0.282064	0.677714	0.014028	0.038006
194	0.278506	0.192404	0.280783	0.674479	0.015103	0.037816
195	0.280145	0.193404	0.280863	0.685689	0.014128	0.037627
196	0.278026	0.197446	0.278586	0.687317	0.013478	0.037439
197	0.277370	0.187799	0.278010	0.686422	0.013517	0.037252
198	0.283473	0.196129	0.288171	0.663737	0.013504	0.037066
199	0.281333	0.200297	0.282855	0.679220	0.012894	0.036880
200	0.281170	0.186301	0.281476	0.690674	0.012979	0.036696
201	0.280462	0.190386	0.280901	0.688822	0.015328	0.036512
202	0.278483	0.193932	0.285665	0.654867	0.016842	0.036330
203	0.279897	0.194267	0.283904	0.666280	0.014552	0.036148
204	0.278629	0.207833	0.279374	0.685384	0.013849	0.035967
205	0.284776	0.204948	0.285179	0.689372	0.014276	0.035788
206	0.283272	0.209586	0.283288	0.702169	0.017508	0.035609
207	0.283896	0.208212	0.283912	0.697856	0.017935	0.035431
208	0.291011	0.212203	0.298353	0.655355	0.023370	0.035253
209	0.290052	0.216650	0.301493	0.644368	0.026211	0.035077
210	0.304603	0.234120	0.322230	0.632914	0.028181	0.034902
211	0.300541	0.239380	0.307907	0.655986	0.026719	0.034727
212	0.296412	0.246796	0.306590	0.648031	0.027016	0.034554
213	0.310452	0.247583	0.323214	0.643229	0.030069	0.034381
214	0.333450	0.259045	0.338464	0.665446	0.032863	0.034209
215	0.331076	0.276687	0.331753	0.687215	0.039975	0.034038
216	0.340900	0.283818	0.341210	0.691467	0.039257	0.033868
217	0.349607	0.296826	0.350433	0.686259	0.040566	0.033698
218	0.349862	0.308529	0.353380	0.671712	0.040070	0.033530
219	0.370464	0.316808	0.373458	0.674622	0.035894	0.033362
220	0.392973	0.327520	0.395612	0.676860	0.047575	0.033195
221	0.404037	0.344164	0.407266	0.674764	0.061647	0.033029
222	0.405461	0.358953	0.410939	0.667236	0.052302	0.032864
223	0.427498	0.367100	0.429599	0.680196	0.047176	0.032700
224	0.434711	0.387919	0.440272	0.668111	0.057946	0.032536
225	0.444199	0.400855	0.447988	0.673930	0.059610	0.032374
226	0.497243	0.415826	0.499597	0.680562	0.064556	0.032212
227	0.502334	0.432766	0.505560	0.677368	0.069698	0.032051
228	0.550042	0.462509	0.560187	0.661764	0.076651	0.031891
229	0.593144	0.493505	0.595767	0.681213	0.078817	0.031731
230	0.596244	0.526357	0.598397	0.716980	0.094491	0.031572
231	0.641639	0.551260	0.650958	0.666036	0.091567	0.031415
232	0.700492	0.577257	0.711724	0.664327	0.097750	0.031258
233	0.710713	0.614424	0.712699	0.685059	0.103680	0.031101
234	0.746395	0.656677	0.751417	0.676839	0.106105	0.030946
235	0.768208	0.688806	0.768456	0.694926	0.123209	0.030791
236	0.820326	0.721822	0.864259	0.635396	0.109772	0.030637
237	0.843407	0.763341	0.869494	0.650635	0.121126	0.030484
238	0.912414	0.798894	0.929152	0.661865	0.131386	0.030331
239	0.971834	0.817556	0.998526	0.653442	0.140328	0.030180
240	0.967616	0.858382	0.994357	0.653300	0.140804	0.030029
241	1.050655	0.895043	1.077015	0.655477	0.151090	0.029879
242	1.062051	0.913513	1.066222	0.682292	0.154718	0.029729
243	1.067111	0.968705	1.081635	0.667114	0.149186	0.029581
244	1.181083	1.026254	1.185521	0.682678	0.170289	0.029433
245	1.180634	1.069045	1.196602	0.667216	0.174878	0.029286
246	1.233658	1.104046	1.237899	0.683431	0.178710	0.029139
247	1.279255	1.154506	1.341086	0.638550	0.184899	0.028994
248	1.337508	1.202381	1.353751	0.668925	0.187962	0.028849
249	1.355515	1.244918	1.373485	0.667542	0.192682	0.028704
250	1.414876	1.284491	1.490552	0.635437	0.203167	0.028561
251	1.435029	1.322901	1.483017	0.648702	0.199398	0.028418
252	1.511755	1.356253	1.595731	0.634237	0.210887	0.028276
253	1.543593	1.408916	1.618706	0.638346	0.224747	0.028135
254	1.569150	1.447204	1.593195	0.665120	0.230887	0.027994
255	1.608676	1.471467	1.668724	0.645854	0.240675	0.027854
256	1.672259	1.507274	1.740904	0.643270	0.242103	0.027715
257	1.707586	1.549338	1.802801	0.634115	0.239058	0.027576
258	1.726868	1.591316	1.835016	0.630290	0.252486	0.027438
259	1.764033	1.617400	1.845413	0.639933	0.252376	0.027301
260	1.805426	1.657333	1.887737	0.640279	0.252673	0.027164
261	1.850219	1.682588	1.910309	0.649434	0.253323	0.027029
262	1.845906	1.701399	1.909490	0.647949	0.257341	0.026893
263	1.841061	1.707176	1.957613	0.629924	0.258254	0.026759
264	1.890364	1.731423	1.974105	0.641113	0.264214	0.026625
265	1.884124	1.752140	2.030795	0.622559	0.273654	0.026492
266	1.872792	1.768664	1.977817	0.633931	0.266468	0.026360
267	1.932787	1.792759	2.107650	0.616760	0.280030	0.026228
