gen	best_preq_length	mean_preq_length	best_preq_length	best_preq_gain	best_id_baseline	sigma
98	7.914556	6.907401	7.914556	0.130476	1.275394	0.061187
99	5.172095	3.948178	5.172095	0.159898	0.681250	0.060881
100	8.653187	7.510215	8.653187	0.109000	1.671753	0.060577
101	10.994372	9.972835	10.994372	0.089350	2.518126	0.060274
102	4.744914	3.529288	4.744914	0.183556	0.558740	0.059973
103	7.954407	6.541049	7.954407	0.098574	1.675808	0.059673
104	5.791051	4.441922	5.791051	0.204737	0.606986	0.059375
105	9.498327	7.919938	9.498327	0.152818	1.301851	0.059078
106	9.696983	8.388201	9.696983	0.130407	1.547323	0.058782
107	6.911829	5.738537	6.911829	0.158091	0.920242	0.058488
108	6.659071	5.515179	6.659071	0.172966	0.810179	0.058196
109	6.429803	5.677910	6.429803	0.220500	0.612983	0.057905
110	5.778756	5.427723	5.778756	0.155633	0.779654	0.057615
111	11.022379	8.920691	11.022379	0.113735	2.004989	0.057327
112	6.501907	5.195745	6.501907	0.164954	0.836062	0.057041
113	11.772790	10.452897	11.772790	0.099225	2.436350	0.056756
114	8.402684	7.897090	8.402684	0.121172	1.473129	0.056472
115	5.793637	4.649901	5.793637	0.172856	0.706373	0.056189
116	6.201556	5.578935	6.201556	0.136997	0.959754	0.055908
117	8.782506	7.480812	8.782506	0.119125	1.542990	0.055629
118	6.624823	5.300154	6.624823	0.131957	1.048842	0.055351
119	4.983340	4.161267	4.983340	0.194429	0.553614	0.055074
120	6.201993	5.388562	6.201993	0.203080	0.654081	0.054799
121	5.448258	5.028582	5.448258	0.154890	0.744853	0.054525
122	5.011654	4.562733	5.011654	0.178256	0.595916	0.054252
123	9.033270	8.379984	9.033270	0.121851	1.558579	0.053981
124	5.956306	5.300452	5.956306	0.172440	0.731610	0.053711
125	7.812922	7.168594	7.812922	0.173157	0.959053	0.053442
126	5.163607	4.558290	5.163607	0.199772	0.562164	0.053175
127	8.614332	7.843224	8.614332	0.161630	1.123316	0.052909
128	7.347281	6.818839	7.347281	0.173301	0.901565	0.052645
129	13.283222	11.758696	13.283222	0.101314	2.707589	0.052381
130	8.240067	6.956048	8.240067	0.144146	1.201329	0.052120
131	7.794683	7.119988	7.794683	0.156738	1.048868	0.051859
132	6.434858	6.094988	6.434858	0.127564	1.043354	0.051600
133	9.068577	8.267372	9.068577	0.107730	1.746392	0.051342
134	5.481312	4.875552	5.481312	0.173135	0.680389	0.051085
135	7.085168	6.250066	7.085168	0.201575	0.744031	0.050830
136	5.305873	4.744530	5.305873	0.150638	0.739917	0.050575
137	8.311504	7.727487	8.311504	0.122022	1.434032	0.050322
138	6.179496	5.579470	6.179496	0.155085	0.835492	0.050071
139	7.243682	6.659494	7.243682	0.171565	0.883837	0.049821
140	10.499870	9.399771	10.499870	0.152980	1.438921	0.049571
141	6.410198	5.990597	6.410198	0.161574	0.833926	0.049324
142	8.002624	7.505314	8.002624	0.138465	1.208592	0.049077
143	9.178294	8.389042	9.178294	0.144475	1.322176	0.048832
144	8.471910	7.879983	8.471910	0.180322	0.989942	0.048587
145	7.949365	7.383276	7.949365	0.119765	1.381599	0.048344
146	6.437850	6.081202	6.437850	0.162571	0.832714	0.048103
147	6.193239	5.765360	6.193239	0.216854	0.601202	0.047862
148	4.519968	4.067640	4.519968	0.197878	0.488475	0.047623
149	7.510346	6.990496	7.510346	0.154090	1.025764	0.047385
150	4.143549	3.798350	4.143549	0.192950	0.459009	0.047148
151	6.781343	6.272166	6.781343	0.127313	1.110352	0.046912
152	4.776479	4.375757	4.776479	0.160198	0.624496	0.046678
153	7.213682	6.788403	7.213682	0.156497	0.974890	0.046444
154	7.929510	7.464631	7.929510	0.167759	0.999090	0.046212
155	6.920630	6.391635	6.920630	0.189813	0.773065	0.045981
156	5.448566	5.045283	5.448566	0.191366	0.602995	0.045751
157	5.414289	4.956481	5.414289	0.134323	0.835593	0.045522
158	8.967884	8.491606	8.967884	0.149116	1.263652	0.045295
159	6.427059	6.119357	6.427059	0.142297	0.947896	0.045068
160	7.198508	6.768181	7.198508	0.156785	0.962506	0.044843
161	8.114704	7.647157	8.114704	0.150242	1.129398	0.044619
162	5.225073	4.851425	5.225073	0.190239	0.581082	0.044396
163	4.201040	3.938757	4.201040	0.195662	0.454951	0.044174
164	12.812857	12.220798	12.812857	0.142289	1.890477	0.043953
165	12.045800	11.353344	12.045800	0.118310	2.100907	0.043733
166	5.331371	5.005120	5.331371	0.125779	0.887395	0.043514
167	9.540318	8.870938	9.540318	0.159493	1.245464	0.043297
168	5.953801	5.652529	5.953801	0.193702	0.651068	0.043080
169	9.923233	9.515205	9.923233	0.137638	1.511162	0.042865
170	9.339157	8.813437	9.339157	0.111179	1.733949	0.042650
171	3.590531	3.065374	3.590531	0.208252	0.377642	0.042437
172	4.922664	4.546210	4.922664	0.163918	0.634730	0.042225
173	5.288649	4.836538	5.288649	0.211172	0.534158	0.042014
174	3.878314	3.589656	3.878314	0.166846	0.492189	0.041804
175	8.231011	7.684556	8.231011	0.150246	1.152426	0.041595
176	5.337311	5.043972	5.337311	0.195567	0.575932	0.041387
177	11.509121	10.748915	11.509121	0.090140	2.627504	0.041180
178	5.396372	5.009064	5.396372	0.151541	0.741706	0.040974
