gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.175553	0.052856	0.177649	0.730815	0.000383	0.100000
1	0.190824	0.098086	0.191098	0.689290	0.000450	0.099500
2	0.192676	0.133857	0.194653	0.671427	0.000478	0.099003
3	0.192832	0.137581	0.194606	0.672933	0.000487	0.098507
4	0.193452	0.140672	0.196327	0.665649	0.000484	0.098015
5	0.193639	0.137149	0.197694	0.659281	0.000482	0.097525
6	0.194330	0.138842	0.202116	0.643941	0.000470	0.097037
7	0.193922	0.134468	0.198649	0.656108	0.000473	0.096552
8	0.193716	0.141212	0.195183	0.675435	0.000480	0.096069
9	0.193174	0.137529	0.197114	0.659810	0.000467	0.095589
10	0.194668	0.134628	0.197233	0.667643	0.000468	0.095111
11	0.194748	0.137594	0.194778	0.696493	0.000469	0.094635
12	0.195760	0.145602	0.202812	0.646790	0.000463	0.094162
13	0.195278	0.143638	0.197603	0.669230	0.000461	0.093691
14	0.197805	0.152051	0.198729	0.680684	0.000423	0.093223
15	0.197685	0.155462	0.197914	0.690369	0.000427	0.092757
16	0.201027	0.158136	0.203242	0.670390	0.000414	0.092293
17	0.200065	0.165088	0.200347	0.689392	0.000505	0.091832
18	0.197187	0.167613	0.200320	0.664490	0.000497	0.091372
19	0.201269	0.168342	0.201934	0.683757	0.000522	0.090916
20	0.201136	0.159115	0.201698	0.685059	0.000503	0.090461
21	0.201115	0.166617	0.202452	0.676982	0.000536	0.090009
22	0.203028	0.164174	0.204214	0.678406	0.000555	0.089559
23	0.201185	0.158895	0.201957	0.682495	0.000508	0.089111
24	0.202894	0.162316	0.203459	0.685079	0.000555	0.088665
25	0.205768	0.155336	0.208621	0.666809	0.000558	0.088222
26	0.204116	0.159033	0.207303	0.664795	0.000550	0.087781
27	0.204824	0.158204	0.206734	0.672750	0.000546	0.087342
28	0.204388	0.157510	0.205263	0.681519	0.000628	0.086905
29	0.206089	0.158998	0.206959	0.681641	0.000584	0.086471
30	0.205709	0.163084	0.215645	0.638570	0.000664	0.086038
31	0.208198	0.158984	0.218433	0.638041	0.000654	0.085608
32	0.206506	0.161680	0.216739	0.637797	0.000667	0.085180
33	0.209739	0.162270	0.211357	0.675212	0.000629	0.084754
34	0.208750	0.160102	0.210779	0.672180	0.000603	0.084331
35	0.210484	0.157377	0.211466	0.680705	0.000574	0.083909
36	0.208510	0.161998	0.209900	0.676941	0.000617	0.083489
37	0.209883	0.160205	0.210936	0.679993	0.000604	0.083072
38	0.208908	0.163707	0.210564	0.674866	0.000605	0.082657
39	0.208854	0.162240	0.210112	0.678080	0.000630	0.082243
40	0.208001	0.157270	0.210227	0.670817	0.000575	0.081832
41	0.208848	0.161731	0.211944	0.665690	0.000633	0.081423
42	0.211986	0.164010	0.212089	0.693766	0.000740	0.081016
43	0.210384	0.160188	0.213258	0.667053	0.000777	0.080611
44	0.216455	0.163536	0.224759	0.645121	0.000706	0.080208
45	0.216847	0.166217	0.227053	0.639343	0.000669	0.079807
46	0.216731	0.163421	0.226298	0.641215	0.000734	0.079408
47	0.217371	0.160460	0.223750	0.651896	0.000724	0.079010
48	0.217594	0.168631	0.217594	0.700277	0.000717	0.078615
49	0.217253	0.166289	0.217272	0.702616	0.000717	0.078222
50	0.220674	0.160971	0.220769	0.694132	0.000734	0.077831
51	0.222110	0.160859	0.222560	0.687276	0.000713	0.077442
52	0.222143	0.167108	0.222400	0.690369	0.000756	0.077055
53	0.221265	0.162468	0.221265	0.700256	0.000698	0.076670
54	0.221716	0.163827	0.221850	0.693034	0.000732	0.076286
55	0.221147	0.158115	0.221159	0.697896	0.000719	0.075905
56	0.222091	0.159618	0.222092	0.699666	0.000704	0.075525
57	0.220938	0.165791	0.220951	0.702169	0.000711	0.075148
58	0.220414	0.164558	0.220430	0.702372	0.000724	0.074772
59	0.221151	0.156709	0.221381	0.690877	0.000741	0.074398
60	0.222549	0.163290	0.224838	0.671387	0.000908	0.074026
61	0.221767	0.168962	0.223598	0.674357	0.000897	0.073656
62	0.220113	0.169413	0.227157	0.649801	0.000927	0.073288
63	0.226295	0.170498	0.229402	0.666972	0.001107	0.072921
64	0.230179	0.167762	0.232747	0.670207	0.001022	0.072557
65	0.230017	0.165752	0.233024	0.667765	0.001014	0.072194
66	0.227917	0.149284	0.234417	0.652568	0.001060	0.071833
67	0.229443	0.160833	0.232692	0.666463	0.001038	0.071474
68	0.230455	0.160179	0.232200	0.675435	0.001075	0.071116
69	0.230032	0.167056	0.232595	0.670227	0.001030	0.070761
70	0.228444	0.159034	0.230594	0.672628	0.001024	0.070407
71	0.228972	0.162743	0.235657	0.652018	0.001051	0.070055
72	0.229380	0.161913	0.233458	0.662455	0.001117	0.069705
73	0.229352	0.159936	0.234683	0.657125	0.001052	0.069356
74	0.229975	0.158427	0.233856	0.663411	0.001036	0.069009
75	0.227652	0.159677	0.230583	0.668009	0.001059	0.068664
76	0.230214	0.157153	0.232538	0.671651	0.001028	0.068321
77	0.229666	0.162123	0.234155	0.660645	0.001044	0.067979
78	0.230032	0.172617	0.234139	0.662374	0.000984	0.067639
79	0.229440	0.170173	0.232308	0.668477	0.000970	0.067301
80	0.230297	0.164735	0.232314	0.673584	0.001064	0.066965
81	0.230868	0.169913	0.232680	0.674988	0.000998	0.066630
82	0.231245	0.165918	0.235779	0.660583	0.001078	0.066297
83	0.230381	0.181716	0.237200	0.651693	0.001053	0.065965
84	0.231081	0.174099	0.231897	0.683207	0.000916	0.065635
85	0.231619	0.170830	0.236573	0.658854	0.001012	0.065307
86	0.231437	0.165189	0.238218	0.651937	0.001030	0.064981
87	0.232512	0.178887	0.239692	0.650675	0.000967	0.064656
88	0.232056	0.175320	0.237014	0.658875	0.000941	0.064333
89	0.231126	0.178420	0.233249	0.672953	0.001039	0.064011
90	0.233023	0.175565	0.234677	0.676208	0.000970	0.063691
91	0.231086	0.171740	0.238444	0.649923	0.001017	0.063372
92	0.231541	0.177245	0.236449	0.659037	0.000961	0.063056
93	0.232274	0.167270	0.238899	0.652568	0.000933	0.062740
94	0.232235	0.175756	0.233149	0.682271	0.001115	0.062427
95	0.231256	0.179577	0.236925	0.655986	0.001002	0.062114
96	0.232332	0.173892	0.237002	0.660095	0.000955	0.061804
97	0.232348	0.185850	0.236181	0.663818	0.001086	0.061495
98	0.231704	0.165748	0.237404	0.655904	0.000972	0.061187
99	0.232897	0.185732	0.237028	0.662496	0.000967	0.060881
100	0.232396	0.165430	0.237401	0.658712	0.000930	0.060577
101	0.232796	0.162164	0.236800	0.663066	0.000987	0.060274
102	0.232683	0.177160	0.239040	0.653564	0.000926	0.059973
103	0.234542	0.172825	0.237714	0.667216	0.001296	0.059673
104	0.234500	0.168638	0.237292	0.669230	0.001213	0.059375
105	0.235108	0.180797	0.237695	0.670410	0.001121	0.059078
106	0.235345	0.171644	0.237139	0.675354	0.000950	0.058782
107	0.235304	0.173313	0.237515	0.672648	0.001075	0.058488
108	0.236274	0.174696	0.237210	0.682210	0.000979	0.058196
109	0.238409	0.172981	0.239581	0.680196	0.001002	0.057905
110	0.237382	0.178713	0.238302	0.682414	0.001097	0.057615
111	0.238676	0.184809	0.241021	0.672038	0.001057	0.057327
112	0.239003	0.172535	0.240302	0.679179	0.001046	0.057041
113	0.238815	0.167984	0.240224	0.678304	0.001061	0.056756
114	0.240862	0.173442	0.243152	0.672485	0.001093	0.056472
115	0.241562	0.172623	0.244065	0.671285	0.000993	0.056189
116	0.240534	0.179380	0.242730	0.673035	0.001072	0.055908
117	0.240797	0.170686	0.243138	0.672180	0.001099	0.055629
118	0.239566	0.171096	0.240810	0.679647	0.001062	0.055351
119	0.241443	0.173456	0.242744	0.679260	0.001048	0.055074
120	0.240941	0.166473	0.242895	0.674581	0.001051	0.054799
121	0.240366	0.177890	0.241868	0.677673	0.001142	0.054525
122	0.240793	0.161114	0.243082	0.672485	0.001080	0.054252
123	0.240829	0.178435	0.242513	0.676392	0.001035	0.053981
124	0.240628	0.166140	0.242994	0.672017	0.001064	0.053711
125	0.239917	0.166965	0.242774	0.669230	0.001052	0.053442
126	0.241923	0.179269	0.244152	0.672913	0.001063	0.053175
127	0.242043	0.168835	0.243833	0.675720	0.001074	0.052909
128	0.240907	0.171140	0.243270	0.672058	0.001069	0.052645
129	0.240051	0.169195	0.242993	0.668783	0.000991	0.052381
130	0.241305	0.173820	0.243439	0.673462	0.001110	0.052120
131	0.241356	0.173014	0.243671	0.672363	0.001092	0.051859
132	0.240920	0.168514	0.242310	0.678548	0.001147	0.051600
133	0.240802	0.168586	0.242239	0.678182	0.001147	0.051342
134	0.241489	0.166541	0.242755	0.679545	0.001028	0.051085
135	0.241060	0.179494	0.246273	0.658630	0.001085	0.050830
136	0.241746	0.180238	0.242871	0.680725	0.001091	0.050575
137	0.242652	0.171540	0.242987	0.689494	0.001202	0.050322
138	0.244191	0.169833	0.244958	0.684163	0.001198	0.050071
139	0.244014	0.181243	0.245819	0.675720	0.000991	0.049821
140	0.244190	0.169269	0.245196	0.681864	0.001211	0.049571
141	0.242398	0.181527	0.245114	0.670146	0.001082	0.049324
142	0.244353	0.176882	0.245118	0.684184	0.001095	0.049077
143	0.243332	0.178698	0.243912	0.686198	0.001193	0.048832
144	0.243446	0.174330	0.244408	0.682231	0.001208	0.048587
145	0.244072	0.172629	0.244993	0.682638	0.001133	0.048344
146	0.242944	0.172653	0.244556	0.677002	0.001052	0.048103
147	0.244413	0.175896	0.244684	0.690572	0.001152	0.047862
148	0.242610	0.178444	0.245838	0.667480	0.001113	0.047623
149	0.242576	0.172471	0.242813	0.691162	0.001211	0.047385
150	0.242848	0.174927	0.245271	0.671814	0.001181	0.047148
151	0.243770	0.170522	0.244295	0.686869	0.001251	0.046912
152	0.243747	0.171534	0.243867	0.693705	0.001212	0.046678
153	0.243051	0.179195	0.244839	0.675781	0.001083	0.046444
154	0.243890	0.179480	0.244526	0.685567	0.001178	0.046212
155	0.243201	0.177142	0.244244	0.681498	0.001200	0.045981
156	0.242636	0.179834	0.244440	0.675659	0.001059	0.045751
157	0.244422	0.175695	0.245975	0.677490	0.001200	0.045522
158	0.243203	0.171633	0.246018	0.669657	0.001103	0.045295
159	0.244660	0.171687	0.245614	0.682353	0.001123	0.045068
160	0.244233	0.177490	0.245241	0.681844	0.001223	0.044843
161	0.242867	0.185486	0.243501	0.685567	0.001174	0.044619
162	0.244150	0.185780	0.245585	0.678345	0.001152	0.044396
163	0.243317	0.189579	0.244507	0.680237	0.001144	0.044174
164	0.243621	0.178617	0.245177	0.677429	0.001221	0.043953
165	0.243225	0.185290	0.245452	0.672994	0.001234	0.043733
166	0.244379	0.183827	0.245747	0.678874	0.001115	0.043514
167	0.243925	0.180479	0.245383	0.678162	0.001266	0.043297
168	0.243531	0.176655	0.244691	0.680501	0.001165	0.043080
169	0.243551	0.185649	0.244746	0.680216	0.001168	0.042865
170	0.243348	0.178828	0.244209	0.683187	0.001123	0.042650
171	0.244628	0.186587	0.245199	0.686340	0.001281	0.042437
172	0.244149	0.191659	0.245434	0.679504	0.001101	0.042225
173	0.244446	0.172743	0.245031	0.686178	0.001256	0.042014
174	0.244295	0.181919	0.246347	0.674133	0.001140	0.041804
175	0.243902	0.183086	0.245712	0.675680	0.001210	0.041595
176	0.244341	0.182879	0.245270	0.682576	0.001178	0.041387
177	0.244084	0.172036	0.246681	0.670898	0.001187	0.041180
178	0.244323	0.180013	0.245131	0.683757	0.001196	0.040974
179	0.244449	0.177262	0.252512	0.649048	0.001276	0.040769
180	0.243977	0.182711	0.249247	0.658651	0.001095	0.040565
181	0.244138	0.185615	0.244716	0.686239	0.001143	0.040362
182	0.244345	0.178963	0.247185	0.669596	0.001267	0.040161
183	0.245091	0.173688	0.247140	0.674194	0.001156	0.039960
184	0.243866	0.186269	0.246708	0.669556	0.001237	0.039760
185	0.249032	0.183651	0.253434	0.662557	0.001374	0.039561
186	0.248465	0.179967	0.253559	0.659709	0.001460	0.039363
187	0.249115	0.178715	0.251051	0.675110	0.001416	0.039167
188	0.249088	0.192070	0.251173	0.674174	0.001405	0.038971
189	0.249751	0.188837	0.251899	0.673828	0.001362	0.038776
190	0.248857	0.198712	0.252520	0.665812	0.001311	0.038582
191	0.249035	0.189633	0.252941	0.664714	0.001370	0.038389
192	0.248459	0.191059	0.249879	0.678650	0.001270	0.038197
193	0.249049	0.185330	0.253365	0.662923	0.001381	0.038006
194	0.248855	0.187804	0.249043	0.692240	0.001523	0.037816
195	0.248837	0.184857	0.249019	0.692362	0.001446	0.037627
196	0.248786	0.184305	0.251131	0.672607	0.001323	0.037439
197	0.249554	0.179396	0.250934	0.678996	0.001277	0.037252
198	0.249765	0.198447	0.250140	0.689046	0.001419	0.037066
199	0.250998	0.195638	0.251838	0.683655	0.001479	0.036880
200	0.250894	0.180517	0.251861	0.682454	0.001403	0.036696
201	0.250902	0.189476	0.252301	0.678914	0.001376	0.036512
202	0.252785	0.193765	0.253673	0.683248	0.001373	0.036330
203	0.251803	0.185434	0.252690	0.683228	0.001496	0.036148
204	0.251155	0.192846	0.251875	0.684875	0.001520	0.035967
205	0.251812	0.189738	0.254192	0.672567	0.001553	0.035788
206	0.251318	0.188184	0.255196	0.664998	0.001451	0.035609
207	0.251799	0.192818	0.252870	0.681580	0.001482	0.035431
208	0.253326	0.201460	0.256896	0.666545	0.001566	0.035253
209	0.254528	0.178238	0.255371	0.683736	0.001567	0.035077
210	0.254133	0.196514	0.255780	0.677266	0.001527	0.034902
211	0.254220	0.181742	0.254244	0.697245	0.001557	0.034727
212	0.254877	0.185133	0.255451	0.686584	0.001470	0.034554
213	0.254110	0.176686	0.254990	0.683370	0.001450	0.034381
214	0.254686	0.183354	0.255431	0.684713	0.001495	0.034209
215	0.253951	0.186523	0.254442	0.687561	0.001495	0.034038
216	0.254193	0.192360	0.256278	0.674438	0.001500	0.033868
217	0.254721	0.192559	0.255590	0.683492	0.001633	0.033698
218	0.254627	0.192281	0.255511	0.683350	0.001623	0.033530
219	0.255806	0.200235	0.255807	0.700602	0.001610	0.033362
220	0.255792	0.192312	0.255803	0.698140	0.001600	0.033195
221	0.255571	0.193994	0.258625	0.669169	0.001708	0.033029
