gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.118493	0.070294	0.127541	0.773275	0.000225	0.100000
1	0.122195	0.089149	0.131311	0.774129	0.000228	0.099500
2	0.123645	0.099288	0.137234	0.758667	0.000325	0.099003
3	0.123948	0.101995	0.138469	0.755859	0.000327	0.098507
4	0.122368	0.107319	0.139864	0.746602	0.000345	0.098015
5	0.127133	0.104116	0.141309	0.758036	0.000285	0.097525
6	0.124049	0.109091	0.141474	0.747457	0.000381	0.097037
7	0.125068	0.108872	0.143550	0.744995	0.000325	0.096552
8	0.125898	0.108535	0.150033	0.731547	0.000448	0.096069
9	0.128044	0.105250	0.139410	0.767517	0.000311	0.095589
10	0.130183	0.108054	0.148400	0.747640	0.000423	0.095111
11	0.129171	0.106930	0.149511	0.741842	0.000397	0.094635
12	0.127189	0.108381	0.138076	0.768941	0.000329	0.094162
13	0.128726	0.111349	0.158789	0.720418	0.000478	0.093691
14	0.128389	0.109357	0.141879	0.760600	0.000309	0.093223
15	0.127072	0.108437	0.146903	0.742289	0.000393	0.092757
16	0.130523	0.111094	0.152224	0.739075	0.000385	0.092293
17	0.129026	0.109811	0.148006	0.745219	0.000404	0.091832
18	0.129998	0.107948	0.150800	0.741028	0.000516	0.091372
19	0.129432	0.111708	0.161103	0.717672	0.000484	0.090916
20	0.131043	0.109555	0.150699	0.744263	0.000516	0.090461
21	0.131569	0.111332	0.157961	0.729065	0.000595	0.090009
22	0.130793	0.114390	0.158654	0.725708	0.000555	0.089559
23	0.132389	0.115906	0.149041	0.752645	0.000516	0.089111
24	0.132607	0.113385	0.152187	0.745036	0.000436	0.088665
25	0.132354	0.113054	0.166833	0.713908	0.000577	0.088222
26	0.133630	0.115160	0.145645	0.767008	0.000482	0.087781
27	0.132043	0.115656	0.149268	0.750956	0.000461	0.087342
28	0.133328	0.117621	0.162274	0.724630	0.000641	0.086905
29	0.135175	0.116061	0.148993	0.761759	0.000425	0.086471
30	0.132859	0.116180	0.150880	0.749125	0.000487	0.086038
31	0.135876	0.117605	0.157219	0.741964	0.000653	0.085608
32	0.134925	0.118561	0.149532	0.759318	0.000607	0.085180
33	0.139058	0.116823	0.156852	0.751851	0.000759	0.084754
34	0.138057	0.117099	0.146572	0.780802	0.000728	0.084331
35	0.142523	0.115434	0.150484	0.784058	0.000788	0.083909
36	0.139857	0.114898	0.145413	0.794169	0.000871	0.083489
37	0.139052	0.115908	0.147453	0.781494	0.000833	0.083072
38	0.142375	0.116609	0.154264	0.769897	0.000838	0.082657
39	0.142919	0.117272	0.149896	0.788249	0.000839	0.082243
40	0.143806	0.117333	0.158735	0.761108	0.000899	0.081832
41	0.144440	0.113601	0.159176	0.761841	0.001069	0.081423
42	0.144152	0.119707	0.166339	0.742981	0.001027	0.081016
43	0.147317	0.114686	0.165268	0.754089	0.001142	0.080611
44	0.146628	0.114037	0.163100	0.757711	0.001202	0.080208
45	0.147371	0.114601	0.163927	0.757711	0.001115	0.079807
46	0.148551	0.119872	0.165994	0.755758	0.001070	0.079408
47	0.147398	0.114360	0.173426	0.735942	0.001295	0.079010
48	0.148536	0.120663	0.175285	0.734904	0.001347	0.078615
49	0.152749	0.116793	0.176811	0.741821	0.001265	0.078222
50	0.155008	0.116151	0.178181	0.744425	0.001413	0.077831
51	0.152781	0.116708	0.177782	0.739889	0.001332	0.077442
52	0.154840	0.116717	0.174437	0.752360	0.001402	0.077055
53	0.154225	0.112499	0.175126	0.749166	0.001323	0.076670
54	0.156008	0.119621	0.173517	0.757751	0.002223	0.076286
55	0.169677	0.123405	0.196589	0.741475	0.004050	0.075905
56	0.168046	0.121435	0.193241	0.744283	0.003643	0.075525
57	0.169005	0.119377	0.198059	0.737345	0.003892	0.075148
58	0.168454	0.117944	0.193173	0.745341	0.004024	0.074772
59	0.167047	0.113006	0.189021	0.750570	0.003334	0.074398
60	0.168955	0.119976	0.195183	0.742554	0.004217	0.074026
61	0.179990	0.117232	0.200361	0.757385	0.005912	0.073656
62	0.186540	0.122703	0.199651	0.776286	0.006248	0.073288
63	0.184005	0.122667	0.214744	0.738831	0.006466	0.072921
64	0.183254	0.122634	0.207908	0.749512	0.005852	0.072557
65	0.193702	0.114507	0.225362	0.739950	0.007676	0.072194
66	0.183928	0.111086	0.209285	0.748352	0.006186	0.071833
67	0.183949	0.118723	0.227525	0.719584	0.007068	0.071474
68	0.185777	0.115949	0.221006	0.732137	0.006820	0.071116
69	0.186097	0.112934	0.207061	0.757589	0.006209	0.070761
70	0.192161	0.111696	0.220853	0.744486	0.006897	0.070407
71	0.186505	0.114047	0.210836	0.750956	0.006469	0.070055
72	0.190940	0.113107	0.227313	0.731893	0.007184	0.069705
73	0.190824	0.115244	0.219210	0.744670	0.007568	0.069356
74	0.191861	0.115633	0.221476	0.742839	0.007627	0.069009
75	0.188110	0.125417	0.212704	0.750854	0.006521	0.068664
76	0.191709	0.127143	0.226061	0.735168	0.006793	0.068321
77	0.191929	0.120917	0.232960	0.725505	0.007826	0.067979
78	0.191508	0.129039	0.237586	0.718669	0.008290	0.067639
79	0.194863	0.131537	0.222165	0.747579	0.007858	0.067301
80	0.207200	0.126505	0.250530	0.726746	0.010651	0.066965
81	0.197240	0.132147	0.222937	0.751017	0.008281	0.066630
82	0.199235	0.129711	0.228409	0.745443	0.011481	0.066297
83	0.197391	0.135901	0.225071	0.747538	0.008653	0.065965
84	0.195672	0.133254	0.229614	0.736877	0.006972	0.065635
85	0.198022	0.135222	0.218698	0.760864	0.008496	0.065307
86	0.202978	0.133944	0.226047	0.757202	0.008461	0.064981
87	0.202696	0.135327	0.250233	0.720174	0.010506	0.064656
88	0.204308	0.140157	0.235307	0.743693	0.007724	0.064333
89	0.212478	0.142213	0.240088	0.751139	0.011171	0.064011
90	0.211972	0.147106	0.243937	0.743998	0.011542	0.063691
91	0.215754	0.152028	0.236302	0.764689	0.009506	0.063372
92	0.216276	0.148104	0.240787	0.757324	0.012335	0.063056
93	0.217893	0.158819	0.241964	0.758443	0.012833	0.062740
94	0.215249	0.162842	0.242624	0.752136	0.011608	0.062427
95	0.221281	0.161215	0.247074	0.756083	0.010837	0.062114
96	0.219337	0.166728	0.260355	0.732890	0.011656	0.061804
97	0.226195	0.162853	0.248995	0.762349	0.020112	0.061495
98	0.222794	0.162064	0.275391	0.719788	0.035774	0.061187
99	0.249206	0.181172	0.299638	0.728577	0.048701	0.060881
100	0.266045	0.180903	0.279943	0.786174	0.045453	0.060577
101	0.284709	0.196900	0.345684	0.725403	0.058022	0.060274
102	0.306325	0.221362	0.343402	0.754395	0.059533	0.059973
103	0.311089	0.237727	0.342080	0.762838	0.056208	0.059673
104	0.333330	0.257534	0.362462	0.768127	0.073228	0.059375
105	0.371128	0.278844	0.416251	0.754191	0.074333	0.059078
106	0.384281	0.303778	0.441897	0.744283	0.079777	0.058782
107	0.399921	0.323085	0.490774	0.722026	0.086174	0.058488
108	0.431862	0.340547	0.496344	0.744486	0.092727	0.058196
109	0.461663	0.361855	0.534887	0.741475	0.099805	0.057905
110	0.480260	0.372548	0.510953	0.779602	0.103742	0.057615
111	0.517928	0.391677	0.632554	0.723531	0.117317	0.057327
112	0.575359	0.426916	0.633183	0.762472	0.118185	0.057041
113	0.578294	0.462315	0.636697	0.762268	0.118807	0.056756
114	0.629982	0.481490	0.719188	0.747070	0.140647	0.056472
115	0.700623	0.528385	0.864365	0.720378	0.149693	0.056189
116	0.749565	0.550733	0.820102	0.765177	0.132619	0.055908
117	0.753687	0.594794	0.828476	0.763000	0.134781	0.055629
118	0.851144	0.631448	0.914258	0.774353	0.145946	0.055351
119	0.884088	0.676364	0.943387	0.777934	0.146082	0.055074
120	0.922567	0.722080	1.133411	0.721680	0.172044	0.054799
121	0.915172	0.748680	1.112722	0.724955	0.168116	0.054525
